Colleges_and_Universities
NAME,CITY,STATE,ZIP,COUNTY,ALIAS
Shorter College,N Little Rock,AR,72114,Pulaski,NOT AVAILABLE
Citrus Heights Beauty College,Citris Heights,CA,95610,Sacramento,NOT AVAILABLE
Joe Blasco Makeup Artist Training Center,Los Angeles,CA,90027,Los Angeles,NOT AVAILABLE
Waynes College of Beauty,Salinas,CA,93906,Monterey,NOT AVAILABLE
Hult International Business School,Cambridge,MA,2141,Middlesex,NOT AVAILABLE
Vogue College of Cosmetology,Santa Fe,NM,87505,Santa Fe,NOT AVAILABLE
Vogue College - McAllen,McAllen,TX,78501,Hidalgo,NOT AVAILABLE
Montana Bible College,Bozeman,MT,59718,Gallatin,NOT AVAILABLE
KC's School of Hair Design,Pontotoc,MS,38863,Pontotoc,NOT AVAILABLE
Colton-Redlands-Yucaipa Regional Occupational Program,Redlands,CA,92374,San Bernardino,NOT AVAILABLE
Cheveux School of Hair Design,Jacksonville,NC,28540,Onslow,NOT AVAILABLE
Watson School of Biological Sciences at Cold Spring Harbor Laboratory,Cold Spring Harbor,NY,11724,Nassau,NOT AVAILABLE
American College of Healthcare Sciences,Portland,OR,97239,Multnomah,NOT AVAILABLE
Universal Technical Institute - Dallas Fort Worth,Irving,TX,75063,Dallas,Universal Technical Institute - Dallas/Fort Worth
International Culinary Center-California,Campbell,CA,95008,Santa Clara,The French Culinary Institute
Milan Institute-Las Vegas,Las Vegas,NV,89106,Clark,NOT AVAILABLE
Virginia College-Savannah,Savannah,GA,31419,Chatham,NOT AVAILABLE
Virginia College-Columbus,Columbus,GA,31904,Muscogee,NOT AVAILABLE
Donna's Academy of Hair Design,Smithville,MO,64089,Clay,NOT AVAILABLE
New York School of Esthetics & Day Spa,Tarrytown,NY,10591,Westchester,NOT AVAILABLE
Panache Academy of Beauty,Baraboo,WI,53913,Sauk,NOT AVAILABLE
Finger Lakes Health College of Nursing,Geneva,NY,14456,Ontario,NOT AVAILABLE
ASI Career Institute,Turnersville,NJ,8012,Gloucester,NOT AVAILABLE
Chicago School for Piano Technology (The),Chicago,IL,60612,Cook,NOT AVAILABLE
Midwest Technical Institute,Ridgeland,MS,39157,Madison,Delta Technical College
Christine Valmy International School of Esthetics & Cosmetology,Pine Brook,NJ,7058,Morris,NOT AVAILABLE
City College-Hollywood,Hollywood,FL,33024,Broward,NOT AVAILABLE
